# X Y Sx Sy Sz
30.000000 49.652123 -0.102917 0.127081 -0.986539
30.500000 49.940798 0.123365 -0.136407 0.982942
30.500000 50.518149 -0.119758 0.122859 -0.985172
31.000000 50.806824 0.152293 -0.129847 0.979769
31.000000 51.384174 -0.136549 0.132083 -0.981788
31.500000 51.672849 0.166097 -0.137142 0.976526
31.500000 52.250199 -0.148910 0.123262 -0.981138
32.000000 52.538874 0.181208 -0.123155 0.975703
32.000000 53.116225 -0.179505 0.119659 -0.976453
32.500000 53.404900 0.214179 -0.128941 0.968247
32.500000 53.982250 -0.205653 0.120721 -0.971150
33.000000 54.270925 0.239346 -0.120753 0.963396
33.000000 54.848276 -0.235393 0.114766 -0.965100
33.500000 55.136951 0.265089 -0.107910 0.958167
33.500000 55.714301 -0.260021 0.087386 -0.961641
34.000000 56.002976 0.292750 -0.096716 0.951285
34.000000 56.580326 -0.293774 0.081368 -0.952405
34.500000 56.869002 0.323346 -0.076162 0.943211
34.500000 57.446352 -0.320075 0.066493 -0.945056
35.000000 57.735027 0.352648 -0.063206 0.933619
35.000000 58.312377 -0.355883 0.056369 -0.932829
35.500000 58.601052 0.397934 -0.045458 0.916287
35.500000 59.178403 -0.395160 0.036169 -0.917900
36.000000 59.467078 0.428382 -0.029400 0.903119
36.000000 60.044428 -0.425582 0.014646 -0.904802
36.500000 60.333103 0.451694 -0.007383 0.892143
36.500000 60.910453 -0.462110 0.002324 -0.886820
37.000000 61.199129 0.495251 0.004975 0.868736
37.000000 61.776479 -0.502529 -0.018630 -0.864359
37.500000 62.065154 0.540954 0.036737 0.840250
37.500000 62.642504 -0.552684 -0.046845 -0.832073
38.000000 62.931179 0.588038 0.049651 0.807308
38.000000 63.508530 -0.594188 -0.060886 -0.802018
38.500000 63.797205 0.633432 0.073587 0.770291
38.500000 64.374555 -0.640385 -0.084076 -0.763439
39.000000 64.663230 0.683846 0.099548 0.722804
39.000000 65.240580 -0.690381 -0.116209 -0.714052
39.500000 65.529256 0.726710 0.131337 0.674273
39.500000 66.106606 -0.733318 -0.145609 -0.664111
40.000000 66.395281 0.771047 0.163143 0.615525
40.000000 66.972631 -0.781813 -0.170537 -0.599738
40.500000 67.261306 0.822427 0.181907 0.539002
40.500000 67.838657 -0.831503 -0.204236 -0.516614
41.000000 68.127332 0.859999 0.216939 0.461887
41.000000 68.704682 -0.867100 -0.236364 -0.438486
41.500000 68.993357 0.891206 0.248169 0.379690
41.500000 69.570707 -0.897461 -0.257515 -0.358119
42.000000 69.859383 0.919973 0.274638 0.279686
42.000000 70.436733 -0.925711 -0.284175 -0.249607
42.500000 70.725408 0.939663 0.295997 0.171522
42.500000 71.302758 -0.941228 -0.304776 -0.145610
43.000000 71.591433 0.951068 0.302787 0.061557
43.000000 72.168784 -0.947516 -0.318473 -0.028074
43.500000 72.457459 0.945259 0.321347 -0.056762
43.500000 73.034809 -0.944021 -0.318428 0.086183
44.000000 73.323484 0.932885 0.315472 -0.173791
44.000000 73.900834 -0.923498 -0.320153 0.211312
44.500000 74.189510 0.904333 0.318409 -0.284250
44.500000 74.766860 -0.891772 -0.315955 0.323906
45.000000 75.055535 0.864386 0.313907 -0.392810
45.000000 75.632885 -0.847641 -0.308099 0.431948
45.500000 75.921560 0.810589 0.291491 -0.507915
45.500000 76.498911 -0.793530 -0.280456 0.540050
